name,team,player_type,status
Cal Raleigh-H,SEA,hitter,active
Bryce Harper-H,PHI,hitter,active
Jorge Polanco-H,NYM,hitter,active
Manny Machado-H,SD,hitter,active
Bo Bichette-H,NYM,hitter,active
Nick Castellanos-H,PHI,hitter,active
Steven Kwan-H,CLE,hitter,active
Julio Rodríguez-H,SEA,hitter,active
Kerry Carpenter-H,DET,hitter,active
Patrick Bailey-H,SF,hitter,active
Alec Burleson-H,STL,hitter,active
Willi Castro-H,COL,hitter,active
Gleyber Torres-H,DET,hitter,active
Cole Young-H,SEA,hitter,active
Luis Rengifo-H,(N/A),hitter,active
Trea Turner-H,PHI,hitter,active
Cody Bellinger-H,NYY,hitter,active
Isais Chavez-H,MIL,hitter,prospect
Harry Ford-H,WSH,hitter,prospect
Moisés Ballesteros-H,CHC,hitter,prospect
Tyler Locklear-H,ARI,hitter,prospect
Xavier Isaac-H,TB,hitter,prospect
Jefferson Rojas-H,CHC,hitter,prospect
Owen Caissie-H,MIA,hitter,prospect
Gabriel Rincones Jr.-H,PHI,hitter,prospect
Max Fried-P,NYY,pitcher,active
Logan Gilbert-P,SEA,pitcher,active
Shota Imanaga-P,CHC,pitcher,active
Bryce Miller-P,SEA,pitcher,active
Bryan Woo-P,SEA,pitcher,active
Clay Holmes-P,NYM,pitcher,active
Andrés Muñoz-P,SEA,pitcher,active
Tanner Houck-P,BOS,pitcher,active
Matt Brash-P,SEA,pitcher,active
Rhett Lowder-P,CIN,pitcher,IR
Jeter Martinez-P,PIT,pitcher,prospect
Xzavion Curry-P,COL,pitcher,prospect
Brandyn Garcia-P,ARI,pitcher,prospect
Marquis Grissom Jr.-P,WSH,pitcher,prospect
Cionel Pérez-P,BAL,pitcher,prospect
